log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,logFileName,Machine,Benchmark,Header,SDC Iteration,#Accumulated Errors,#Iteration Errors,Relative Errors <= 2%,Relative Errors <= 5%,Jaccard,Jaccard > 2%,Jaccard > 5%,Cubic,Square,Line,Single,Random,Cubic Err > 2,Square Err > 2,Line Err > 2,Single Err > 2,Random Err > 2,Cubic Err > 5,Square Err > 5,Line Err > 5,Single Err > 5,Random Err > 5,Max Relative Error,Min Rel Error,Average Rel Err,# zero output,# zeor Gold
2016_09_06_05_44_09_cudaLulesh_carolk402.log, 1, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 87, rf, 0, 1231206, 157.476337138, 0.83396255227, 1,2016_09_06_05_44_09_cudaLulesh_carolk402.log,carolk402,cudaLulesh, structured-YES size-50 iterations-50,1,214,214,212,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025043332342392617,1.5419764230878115e-14,0.00010075598008019222,120,120
2016_09_06_09_29_05_cudaLulesh_carolk402.log, 1, _Z29AddNodeForcesFromElems_kerneliiPKiS0_S0_PKdS2_S2_PdS3_S3_i, 60, rf, 2, 13629101, 14.6733632697, 0.252415456318, 1,2016_09_06_09_29_05_cudaLulesh_carolk402.log,carolk402,cudaLulesh, structured-YES size-50 iterations-50,1,18,18,18,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12311538699562273,9.397164193348652e-05,0.006943891228166437,0,0
2016_09_06_11_03_10_cudaLulesh_carolk402.log, 1, _Z34CalcTimeConstraintsForElems_kernelILi128EEviddPiPdS1_S1_S1_S1_, 98, rf, 2, 18074966, 31.513567798, 0.0780004971745, 1,2016_09_06_11_03_10_cudaLulesh_carolk402.log,carolk402,cudaLulesh, structured-YES size-50 iterations-50,1,220,220,214,220,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.6974563355980283,1.482558931586077e-10,0.3064112890228685,120,120
2016_09_06_17_44_53_cudaLulesh_carolk402.log, 1, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 52, rf, 2, 30364214, 75.0116711213, 0.424543882252, 1,2016_09_06_17_44_53_cudaLulesh_carolk402.log,carolk402,cudaLulesh, structured-YES size-50 iterations-50,1,220,220,167,170,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,136.6991095364558,1.482558931586077e-10,8.930330317277637,120,120
