log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,logFileName,Machine,Benchmark,Header,SDC Iteration,#Accumulated Errors,#Iteration Errors,Relative Errors <= 2%,Relative Errors <= 5%,Jaccard,Jaccard > 2%,Jaccard > 5%,Cubic,Square,Line,Single,Random,Cubic Err > 2,Square Err > 2,Line Err > 2,Single Err > 2,Random Err > 2,Cubic Err > 5,Square Err > 5,Line Err > 5,Single Err > 5,Random Err > 5,Max Relative Error,Min Rel Error,Average Rel Err,# zero output,# zeor Gold
2016_09_04_22_11_53_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 6402214799, 45.4695276516, 0.230394743, 1,2016_09_04_22_11_53_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,205,205,0,0,0.43205030487804874,0.43205030487804874,0.43205030487804874,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3636.6421968947143,118.49838013237853,974.9404631143075,0,0
2016_09_04_22_13_22_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 7936668535, 29.4500242526, 0.101444233395, 1,2016_09_04_22_13_22_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.431640625,0.431640625,0.431640625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1218.1531506631252,534.1448532351171,801.3763025978576,0,0
2016_09_04_22_14_50_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 27728009418, 57.5013090943, 0.544006293902, 1,2016_09_04_22_14_50_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.423828125,0.423828125,0.423828125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,927.1913408589692,301.79023383971634,532.510158962933,0,0
2016_09_04_22_16_26_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 34860831327, 20.5075530792, 0.175162678433, 1,2016_09_04_22_16_26_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.416015625,0.416015625,0.416015625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2027.2712050985313,546.8476744819413,1056.6855853730576,0,0
2016_09_04_22_18_05_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 10303444779, 29.8097270195, 0.535707373895, 1,2016_09_04_22_18_05_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.404296875,0.404296875,0.404296875,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1569.1243303689084,224.3334835391328,688.3942021622523,0,0
2016_09_04_22_19_34_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 30589230201, 12.9368726969, 0.79237533966, 1,2016_09_04_22_19_34_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.4609375,0.4609375,0.4609375,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2208.8073485714986,487.3483632971572,1184.4550945624069,0,0
2016_09_04_22_21_02_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 30589767550, 57.5428246733, 0.773756001533, 1,2016_09_04_22_21_02_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.421875,0.421875,0.421875,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1381.269261835528,517.5998732131607,796.318395636207,0,0
2016_09_04_22_28_23_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 26861860415, 19.3866556004, 0.266953958913, 1,2016_09_04_22_28_23_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.408203125,0.408203125,0.408203125,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,702.6018658110308,407.7608233015616,579.9367597759368,0,0
2016_09_04_22_29_52_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 19221760349, 2.11881060041, 0.742214693651, 1,2016_09_04_22_29_52_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.43359375,0.43359375,0.43359375,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1440.1003216688189,423.8875156158804,916.3879454921828,0,0
2016_09_04_22_32_15_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 17024187276, 2.69290023426, 0.865414295207, 1,2016_09_04_22_32_15_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.3828125,0.3828125,0.3828125,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1698.353627450615,206.01091048090075,812.0045924244358,0,0
