0-4/dump_3/nw_xeon_phi_0-4/2017_01_12/2017_01_12_13_34_33/2017_01_12_18_27_19_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:2.698863 AccTime:2.698863 KerErr:3 AccErr:3
0-4/dump_11/nw_xeon_phi_0-4/2017_03_09/2017_03_09_13_10_43/2017_03_09_18_05_11_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:2.700679 AccTime:2.700679 KerErr:504681 AccErr:504681
0-4/dump_11/nw_xeon_phi_0-4/2017_03_09/2017_03_09_18_44_45/2017_03_09_23_39_22_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:3.021434 AccTime:3.021434 KerErr:130254 AccErr:130254
0-4/dump_7/nw_xeon_phi_0-4/2017_03_03/2017_03_03_08_53_54/2017_03_03_12_37_58_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:65.426612 AccTime:65.426612 KerErr:222851864 AccErr:222851864
0-4/dump_7/nw_xeon_phi_0-4/2017_03_05/2017_03_05_12_00_20/2017_03_05_16_54_58_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:2.629778 AccTime:2.629778 KerErr:98256 AccErr:98256
0-4/dump_14/nw_xeon_phi_0-4/2017_03_17/2017_03_17_05_50_42/2017_03_17_09_45_29_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:2.965990 AccTime:2.965990 KerErr:1049293 AccErr:1049293
0-4/dump_14/nw_xeon_phi_0-4/2017_03_17/2017_03_17_01_49_30/2017_03_17_05_44_18_openmpNW_mic0-mic0.ece.neu.edu.log:#SDC Ite:0 KerTime:2.823023 AccTime:2.823023 KerErr:12033 AccErr:12033
nw_no_fault_inj_time/2016_11_02/2016_11_02_01_23_52/2016_11_02_06_48_47_openmpNW_carolxeon1-mic0.log:#SDC Ite:0 KerTime:0.921816 AccTime:0.921816 KerErr:273331 AccErr:273331
nw_no_fault_inj_time/2016_11_02/2016_11_02_05_53_55/2016_11_02_11_19_29_openmpNW_carolxeon1-mic0.log:#SDC Ite:0 KerTime:0.772593 AccTime:0.772593 KerErr:261802 AccErr:261802
nw_no_fault_inj_time/2016_11_02/2016_11_02_02_23_10/2016_11_02_07_48_12_openmpNW_carolxeon1-mic0.log:#SDC Ite:0 KerTime:0.741473 AccTime:0.741473 KerErr:344176 AccErr:344176
nw_no_fault_inj_time/2016_11_02/2016_11_02_00_29_51/2016_11_02_05_54_32_openmpNW_carolxeon1-mic0.log:#SDC Ite:0 KerTime:0.849181 AccTime:0.849181 KerErr:4189379 AccErr:4189379
nw_no_fault_inj_time/2016_11_02/2016_11_02_02_16_00/2016_11_02_07_40_48_openmpNW_carolxeon1-mic0.log:#SDC Ite:0 KerTime:1.305208 AccTime:1.305208 KerErr:213389 AccErr:213389
