21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_24_mic1/2017_01_24_16_57_02/2017_01_24_21_54_50_openmpDGEMM_mic1.local.log:#SDC Ite:0 KerTime:41.800058 AccTime:41.800058 KerErr:9 AccErr:9
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_24_mic1/2017_01_24_23_58_12/2017_01_25_04_56_08_openmpDGEMM_mic1.local.log:#SDC Ite:0 KerTime:41.826419 AccTime:41.826419 KerErr:136 AccErr:136
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_24_mic1/2017_01_24_20_12_28/2017_01_25_01_08_12_openmpDGEMM_mic1.local.log:#SDC Ite:0 KerTime:41.956279 AccTime:41.956279 KerErr:128 AccErr:128
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_18_20_37/2017_01_13_23_20_17_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:66.757632 AccTime:66.757632 KerErr:12 AccErr:12
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_20_40_25/2017_01_14_01_40_32_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.075116 AccTime:42.075116 KerErr:256 AccErr:256
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_04_20_06/2017_01_13_09_18_43_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:51.612713 AccTime:51.612713 KerErr:2 AccErr:2
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_14_17_51/2017_01_13_19_17_58_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.299054 AccTime:42.299054 KerErr:9 AccErr:9
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_10_25_59/2017_01_13_15_24_46_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.225962 AccTime:42.225962 KerErr:13 AccErr:13
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_10_41_04/2017_01_13_15_40_44_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:59.802875 AccTime:59.802875 KerErr:1 AccErr:1
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_11_54_15/2017_01_13_16_54_21_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.303034 AccTime:42.303034 KerErr:80 AccErr:80
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_18_21_40/2017_01_13_23_21_47_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.130416 AccTime:42.130416 KerErr:1552 AccErr:1552
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_09_19_05/2017_01_13_14_19_11_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.124847 AccTime:42.124847 KerErr:176 AccErr:176
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_23_23_50/2017_01_14_04_23_56_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.028408 AccTime:42.028408 KerErr:1680 AccErr:1680
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_09_18_02/2017_01_13_14_17_06_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.208811 AccTime:42.208811 KerErr:64 AccErr:64
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_21_37_15/2017_01_14_02_37_22_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.555514 AccTime:42.555514 KerErr:32768 AccErr:32768
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_08_10_35/2017_01_13_13_10_32_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.366165 AccTime:42.366165 KerErr:256 AccErr:256
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_05_37_28/2017_01_13_10_37_33_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.041011 AccTime:42.041011 KerErr:256 AccErr:256
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_03_20_14/2017_01_13_08_19_09_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:42.082570 AccTime:42.082570 KerErr:4 AccErr:4
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_13_05_46/2017_01_13_18_05_52_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:43.116527 AccTime:43.116527 KerErr:1 AccErr:1
21-28/dump_2/dgemm_xeon_phi_21-28/2017_01_13_part2/2017_01_13_13_04_43/2017_01_13_18_01_52_openmpDGEMM_mic0-mic1.ece.neu.edu.log:#SDC Ite:0 KerTime:70.573082 AccTime:70.573082 KerErr:32768 AccErr:32768
