logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_09_19_18_49_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;136.6991095364558;1.482558931586077e-10;8.930330317277637;120;120
2016_09_09_21_02_10_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;2;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.15564446181083125;0.1531578357786042;0.15440114879471772;4;4
2016_09_09_21_54_20_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;68.5835044359711;1.482558931586077e-10;6.4527245608764785;120;120
2016_09_09_23_08_00_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;214;220;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.6974563355980283;1.482558931586077e-10;0.3064112890228685;120;120
2016_09_09_23_13_51_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;170;182;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;20.784642919774363;1.482558931586077e-10;2.169395399166082;120;120
2016_09_09_23_40_10_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;170;176;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;24.062859205872623;1.482558931586077e-10;2.4791326975423256;120;120
2016_09_10_00_17_36_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;170;182;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;20.784642919774363;1.482558931586077e-10;2.169395399166082;120;120
2016_09_10_05_45_52_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;170;201;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;11.298607178353032;1.482558931586077e-10;1.2293135621021536;120;120
2016_09_10_08_26_10_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;214;220;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.6751057380090932;1.482558931586077e-10;0.3039605239922637;120;120
2016_09_10_08_57_13_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6.9548671554352806e-06;6.9548671554352806e-06;6.9548671554352806e-06;0;0
2016_09_10_09_08_24_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;59.824164608449195;1.482558931586077e-10;5.62960035444088;120;120
2016_09_10_11_52_18_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;53.736721714821385;1.482558931586077e-10;5.087714956669521;120;120
2016_09_10_12_20_59_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;57.503788164339014;1.482558931586077e-10;5.420701692592965;120;120
2016_09_10_12_24_55_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;80.3149439041365;1.482558931586077e-10;7.0248677851556804;120;120
2016_09_10_12_56_37_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.536027355695355e-05;3.536027355695355e-05;3.536027355695355e-05;0;0
2016_09_10_13_09_27_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;170;182;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;20.784642919774363;1.482558931586077e-10;2.169395399166082;120;120
2016_09_10_17_55_05_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.00013199914998782985;0.00013199914998782985;0.00013199914998782985;0;0
2016_09_10_17_57_33_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;20;20;20;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.161037517910332;1.3250809524826618e-05;0.008070521294823437;0;0
2016_09_10_20_40_18_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;132.45074887717158;1.482558931586077e-10;8.798714808061925;120;120
2016_09_10_21_17_22_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;167;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;54.247700208556026;1.482558931586077e-10;5.137835984241919;120;120
2016_09_10_21_26_16_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;1;220;220;170;176;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;24.062859205872623;1.482558931586077e-10;2.4791326975423256;120;120
2016_09_10_22_19_04_cudaLulesh_carol.log;carol;cudaLulesh; structured-YES size-50 iterations-50;0;220;220;170;170;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;34.01646270315061;1.482558931586077e-10;3.3836447813541084;120;120
