logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_05_23_27_41_cudaCCL_carol.log;carol;cudaCCL; frames-2- framesPerStream-1;0;3;3;0;0;0.32291666666666663;0.32291666666666663;0.32291666666666663;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;12211300.0;36200.0;4094600.0;0;0
2016_09_06_00_45_07_cudaCCL_carol.log;carol;cudaCCL; frames-2- framesPerStream-1;0;697;697;0;0;0.28125;0.28125;0.28125;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;28.88598251397449;28.88598251397449;28.88598251397476;0;0
2016_09_06_01_37_57_cudaCCL_carol.log;carol;cudaCCL; frames-2- framesPerStream-1;0;12;12;4;6;0.140625;0.171875;0.203125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;6631200.0;0.672645739910314;556337.2506396008;0;0
