Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Tue Sep 13 19:04:39 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_04_39_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:04:45 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 352 , 352 , 3.762963 , 352 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_04_45_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:04:58 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.891506 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_04_58_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:03 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.142213 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_03_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:09 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_09_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:12 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.28356 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_12_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:18 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.450398 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_18_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:23 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.549184 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_23_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:36 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 3.979394 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_36_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:05:49 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.838644 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_49_cudaQuickSortCDP_carolk402.log
