logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_07_04_39_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;4;10;0.22845691382765532;0.2294191919191919;0.22993353783231085;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.34776560598158;0.030646644192460923;66.19906284509871;0;0
2016_09_07_04_41_42_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.4719438877755511;0.4719438877755511;0.4719438877755511;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1477987.9622915157;1061522.9166666665;1260442.2184715439;0;0
2016_09_07_04_41_52_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.5152179358717435;0.5152179358717435;0.5152179358717435;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;116666622.74959083;33279042.29691877;70738743.83369662;0;0
2016_09_07_04_45_26_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;8;8;8;8;0.0703125;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.054769511638521215;0.03640997633351538;0.03988444753683575;0;0
2016_09_07_04_45_57_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;4;4;4;4;0.1015625;nan;nan;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.1629106706489275;0.026932399676811204;0.08805987052553509;0;0
2016_09_07_04_46_03_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;2;2;2;2;0.078125;nan;nan;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.04395604395604395;0.04391743522178305;0.043936739588913504;0;0
2016_09_07_04_47_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.47438627254509014;0.47438627254509014;0.47438627254509014;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;43616000.18957346;20790746.650852818;29946217.20060122;0;0
2016_09_07_04_49_41_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;1;1;1;1;0.03125;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.012963443090484831;0.012963443090484831;0.012963443090484831;0;0
2016_09_07_04_58_14_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.06174849699398799;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8181818181818181;0.10615711252653928;0.20455326088503417;0;0
2016_09_07_04_58_51_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2670340681362725;0.2670340681362725;0.2670340681362725;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.17176997759523;39.29290387518873;75.28651762743588;3;0
2016_09_07_04_59_06_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;22;88;0.1947019038076152;0.19817872117400415;0.20240267639902676;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.64744645799011;0.08110300081103002;29.450335694407336;1;0
2016_09_07_04_59_12_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;5;23;0.22689128256513025;0.22766953441295545;0.23096113445378152;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.3824409710675;0.3996311097448509;65.3810045272976;2;0
2016_09_07_04_59_52_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;73;73;73;73;0.09375;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1413427561837456;0.008686587908269632;0.05877593123451953;0;0
2016_09_07_04_59_56_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;9;9;0.26490480961923846;0.26817602040816324;0.26817602040816324;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.20845177184006;0.019067594622938316;88.39687111888341;1;0
2016_09_07_05_00_07_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;425;499;0.15092685370741488;0.1875;nan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.202389520656398;0.03125976867771178;1.1455066086238073;0;0
2016_09_07_05_00_21_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;7;14;0.23935370741482964;0.23894817073170727;0.23969072164948457;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.26944274341703;0.04884004884004884;66.44115972265054;2;0
2016_09_07_05_02_16_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;6;14;0.2315255511022044;0.23307555780933065;0.2349871134020619;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;8751.304347826086;0.02128112364332837;112.00908507370681;0;0
2016_09_07_05_02_32_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;5;12;0.22363476953907813;0.22494939271255066;0.22638603696098558;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.63934426229508;0.12453300124533001;62.19939244836579;2;0
2016_09_07_05_02_35_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.21887525050100198;0.21887525050100198;0.21887525050100198;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.53538050734312;9.203480589022758;48.69289175861205;0;0
2016_09_07_05_02_37_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;4;11;0.22670340681362722;0.22746212121212117;0.22861168032786883;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.96596136154554;0.3115264797507788;64.15234513370253;3;0
2016_09_07_05_03_09_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.061811122244488925;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.390625;0.08643042350907519;0.34966581992748796;0;0
2016_09_07_05_03_18_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.22664078156312628;0.22664078156312628;0.22664078156312628;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.85238279736537;41.9753086419753;68.34187150949968;0;0
2016_09_07_05_04_03_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.09030561122244485;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06854009595613435;0.008226390259953932;0.025554632474613214;0;0
2016_09_07_05_04_11_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;458;499;0.09994989979959923;0.16615853658536583;nan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.919840406238665;0.01725327812284334;0.5015101022212598;0;0
2016_09_07_05_04_36_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;161;227;0.14222194388777554;0.164478550295858;0.17543658088235292;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;14.460784313725492;0.05649717514124294;5.173270879121587;0;0
2016_09_07_05_05_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.26252505010020044;0.26252505010020044;0.26252505010020044;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.35959974984365;55.57088968626368;74.78996423597832;0;0
2016_09_07_05_06_06_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.24210921843687372;0.24210921843687372;0.24210921843687372;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;75.78810529736757;42.75296262534184;59.092064498774825;0;0
2016_09_07_05_06_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;1;1;1;1;0.15625;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.10256410256410256;0.10256410256410256;0.10256410256410256;0;0
2016_09_07_05_06_32_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.27868236472945895;0.27868236472945895;0.27868236472945895;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.15918056612914;84.3552410232612;92.78727418740601;1;0
2016_09_07_05_06_40_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.16288827655310623;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6326738512680286;0.22038271339496884;0.590972929060771;0;0
2016_09_07_05_07_53_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;55;55;0.25181613226452904;0.2677364864864865;0.2677364864864865;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.19878919309659;0.009010632546404758;86.3646435455729;2;0
2016_09_07_05_08_33_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;197;197;191;191;0.082011421319797;0.13020833333333337;0.13020833333333337;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;12.45196003074558;0.06830601092896176;0.4958411746094334;0;0
2016_09_07_05_08_35_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;4;8;0.23190130260521047;0.23289141414141412;0.23307026476578407;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.3331884687817;0.06426735218508997;70.3328207561437;3;0
2016_09_07_05_08_40_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;85;150;0.13426853707414832;0.1438707729468599;0.1502507163323782;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;188.57142857142856;0.23866348448687352;17.409503982761763;0;0
2016_09_07_05_08_47_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.06212424849699394;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039666798889329634;0.037023324694557574;0.03829829248072126;0;0
2016_09_07_05_08_58_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.26797344689378755;0.26797344689378755;0.26797344689378755;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.16540812657317;24.736888653046783;76.26324912296371;0;0
2016_09_07_05_09_23_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;152;405;0.15794088176352705;0.1699387608069164;0.14394946808510634;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;6.8157894736842115;0.06208609271523179;3.1942637708371486;0;0
2016_09_07_05_09_45_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.22194388777555107;0.22194388777555107;0.22194388777555107;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;289.0341321713871;16.98452680820439;134.0010126861824;0;0
2016_09_07_05_10_06_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2578907815631263;0.2578907815631263;0.2578907815631263;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.38571188998826;54.2713567839196;73.67957085552942;1;0
2016_09_07_05_10_27_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;265;499;0.1596317635270541;0.15130876068376065;nan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.4748923959827835;0.03629764065335753;1.6871202751258496;0;0
2016_09_07_05_10_52_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;3;3;0.29822144288577157;0.2989541330645161;0.2989541330645161;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;100.1443096097081;0.8785836966574183;86.94470062459123;0;0
2016_09_07_05_11_03_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;24;69;0.19971192384769543;0.20078947368421052;0.20406976744186045;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.85185185185186;0.7670999360750054;31.43960309394153;0;0
2016_09_07_05_11_10_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;4;12;0.22701653306613223;0.22796717171717173;0.22946611909650927;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.29631538263335;0.05351886540005352;68.40657599853066;0;0
2016_09_07_05_11_15_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;3;8;0.23071142284569135;0.23160282258064513;0.23217922606924646;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.35183112106189;0.3629165291982844;69.81323496246172;2;0
2016_09_07_05_12_06_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;3;3;2;3;0.10416666666666663;0.09375;nan;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2.3875114784205693;0.05726065048098947;0.8340328100695328;0;0
2016_09_07_05_12_28_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;1;1;1;1;0.09375;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.20345879959308238;0.20345879959308238;0.20345879959308238;0;0
2016_09_07_05_12_36_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;12;18;0.2156813627254509;0.2178516427104723;0.2182302494802495;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;246.49321266968326;0.0949667616334283;66.03460555216695;1;0
2016_09_07_05_12_51_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.25638777555110226;0.25638777555110226;0.25638777555110226;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.16964213587526;83.0372645919594;91.8059309622763;3;0
2016_09_07_05_13_15_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2667209418837675;0.2667209418837675;0.2667209418837675;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.14552006097983;44.926209815810545;77.47987685158603;1;0
2016_09_07_05_15_32_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.5340055110220441;0.5340055110220441;0.5340055110220441;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;89485654.94880545;38657193.0335422;66929573.34514943;0;0
2016_09_07_05_19_12_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.4499624248496994;0.4499624248496994;0.4499624248496994;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;20730666.592427615;17816616.73645173;19238964.434608396;0;0
2016_09_07_05_20_56_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.43537074148296595;0.43537074148296595;0.43537074148296595;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;69769907.46268657;35246535.249764375;54288350.75321304;0;0
2016_09_07_05_21_22_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.47307114228456915;0.47307114228456915;0.47307114228456915;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;42257700.52083333;15797927.291903293;25557709.172364403;0;0
2016_09_07_05_22_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;1;1;1;1;0.09375;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.11737089201877934;0.11737089201877934;0.11737089201877934;0;0
2016_09_07_05_24_05_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;23;23;22;22;0.10597826086956519;0.5;0.5;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;13688817.678812416;0.011946004061641381;595166.0229768477;0;0
